"Kod";"Nazwa";"Rodzaje towarów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2007";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2008";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2009";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2010";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2011";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2012";0,41;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2013";0,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2014";0,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2015";0,28;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2016";0,25;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2017";0,34;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2018";0,31;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2019";0,29;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"1999";1,83;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2000";2,38;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2001";2,13;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2002";2,10;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2003";1,82;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2004";2,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2005";2,59;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2006";2,71;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2007";2,50;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2008";2,19;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2009";2,51;"zł";"";
