"Kod";"Nazwa";"Rodzaje towarów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2001";2,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2002";3,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2003";3,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2004";2,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2005";2,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2006";2,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2007";3,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2008";3,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2009";3,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2010";3,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2011";3,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2013";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2014";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2015";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2016";3,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2017";3,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2018";3,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2019";3,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"1999";6,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2000";6,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2001";6,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2002";5,49;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2003";5,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2004";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2005";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2006";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2007";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2008";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2009";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2010";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2011";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2013";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2014";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2015";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2016";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2017";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2018";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"koncentrat pomidorowy 30% - za 1kg";"2019";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"1999";2,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2000";2,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2001";3,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2002";2,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2003";2,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2004";2,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2005";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2006";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2007";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2008";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2009";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2010";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2011";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2013";3,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2014";3,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2015";3,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2016";3,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2017";3,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2018";3,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2019";3,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"1999";1,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2000";2,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2001";2,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2002";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2003";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2004";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2005";1,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2006";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2007";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2008";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2009";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2010";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2011";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2013";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2014";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2015";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2016";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2017";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2018";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2019";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"1999";2,41;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2000";2,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2001";2,98;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2002";2,88;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2003";2,72;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2004";2,64;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2005";2,65;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2006";2,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2007";3,43;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2008";3,63;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2009";3,64;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2010";3,64;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2011";3,84;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2012";3,80;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2013";3,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2014";3,73;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2015";3,14;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2016";3,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2017";3,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2018";3,54;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2019";3,60;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"1999";6,72;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2000";6,68;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2001";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2002";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2003";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2004";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2005";5,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2006";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2007";6,14;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2008";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2009";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2010";8,83;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2011";9,25;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2012";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2013";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2014";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2015";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2016";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2017";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2018";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"koncentrat pomidorowy 30% - za 1kg";"2019";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"1999";2,22;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2000";2,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2001";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2002";2,50;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2003";2,22;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2004";2,31;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2005";2,72;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2006";2,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2007";2,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2008";3,57;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2009";4,36;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2010";4,36;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2011";4,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2012";3,94;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2013";2,85;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2014";3,15;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2015";2,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2016";2,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2017";2,82;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2018";2,80;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogórki konserwowe całe 0,9l - za 1szt.";"2019";3,11;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"1999";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2000";1,38;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2001";1,67;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2002";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2003";1,25;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2004";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2005";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2006";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2007";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2008";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2009";0,00;"zł";"";
