"Kod";"Nazwa";"Rodzaje produktów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2010";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2011";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2013";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2014";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2015";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2016";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2017";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2018";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2019";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"1999";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2000";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2001";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2002";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2003";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2004";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2005";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2006";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2007";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2008";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2009";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2010";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2011";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2013";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2014";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2015";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2016";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza gryczana prażona cała - za 1kg";"2017";0,00;"zł";"";
